 Package                      Name                                                           Version               
 Panels                       Panel nodes (panels_node)                                      7.x-3.3               
 Panels                       Panels (panels)                                                7.x-3.3               
 Panels                       Panels In-Place Editor (panels_ipe)                            7.x-3.3               
 Path management              Global Redirect (globalredirect)                               7.x-1.5               
 Performance and scalability  Entity cache (entitycache)                                     7.x-1.2               
 RedHen                       RedHen (redhen)                                                7.x-1.9               
 RedHen                       RedHen Contacts (redhen_contact)                               7.x-1.9               
 RedHen                       RedHen Fields (redhen_fields)                                  7.x-1.9               
 RedHen                       RedHen Organizations (redhen_org)                              7.x-1.9               
 RedHen                       RedHen Permissioned Relations (redhen_permissioned_relations)  7.x-1.0-alpha1        
 RedHen                       RedHen Relation (redhen_relation)                              7.x-1.9               
 Relation                     Relation (relation)                                            7.x-1.0-rc4           
 Relation                     Relation Endpoints Field (relation_endpoint)                   7.x-1.0-rc4           
 Relation                     Relation UI (relation_ui)                                      7.x-1.0-rc4           
 Roots                        roots_reg (roots_reg)                                                                
 Rules                        Rules (rules)                                                  7.x-2.6               
 Rules                        Rules UI (rules_admin)                                         7.x-2.6               
 SEO                          Metatag (metatag)                                              7.x-1.0-beta9         
 Service Links                Service links (service_links)                                  7.x-2.1               
 Service Links - Services     Favorite Services (favorite_services)                          7.x-2.1               
 Service Links - Services     General Services (general_services)                            7.x-2.1               
 Service Links - Services     Widget Services (widget_services)                              7.x-2.1               
 Statistics                   Google Analytics (googleanalytics)                             7.x-1.4               
 User interface               External Links (extlink)                                       7.x-1.13              
 User interface               Lightbox2 (lightbox2)                                          7.x-1.0-beta1         
 User interface               Wysiwyg (wysiwyg)                                              7.x-2.2               
 User interface               Wysiwyg SpellCheck (wysiwyg_spellcheck)                        7.x-1.1               
 UUID                         Universally Unique ID (uuid)                                   7.x-1.0-alpha5        
 Views                        Eva (eva)                                                      7.x-1.2               
 Views                        Views (views)                                                  7.x-3.8               
 Views                        Views Bulk Operations (views_bulk_operations)                  7.x-3.2               
 Views                        Views Content Cache (views_content_cache)                      7.x-3.0-alpha3        
 Views                        Views Slideshow (views_slideshow)                              7.x-3.1               
 Views                        Views Slideshow: Cycle (views_slideshow_cycle)                 7.x-3.1               
 Views                        Views UI (views_ui)                                            7.x-3.8               
 Webform                      Webform (webform)                                              7.x-3.20              
 Widgets                      Widgets (widgets)                                              7.x-1.0-rc1           
 Widgets                      Widgets Service links (widgets_service_links)                  7.x-1.0-rc1           

